original_id	work_title	work_authors	file_format	file_size	number_of_access	original_source
14 de Julho na roça|Raul Pompéia	14 de Julho na roça	Raul Pompéia	.pdf	873,48              KB	28.730	[bi] Biblioteca Virtual de Literatura
345|Artur Azevedo	345	Artur Azevedo	.pdf	71,52              KB	13.305	[bi] Biblioteca Virtual de Literatura
6 rocks matutos & 1 romance rasgado. Sambarrancho do bar Jangadeiro|Salomão Rovedo	6 rocks matutos & 1 romance rasgado. Sambarrancho do bar Jangadeiro	Salomão Rovedo	.pdf	131,46              KB	2.986	[ea] Edição do Autor
7 Canções|Salomão Rovedo	7 Canções	Salomão Rovedo	.pdf	83,45              KB	18.593	[ea] Edição do Autor
"A ""Não-me-toques""!|Artur Azevedo"	"A ""Não-me-toques""!"	Artur Azevedo	.pdf	71,10              KB	31.272	[bi] Biblioteca Virtual de Literatura
A Abóboda|Alexandre Herculano	A Abóboda	Alexandre Herculano	.pdf	206,36              KB	4.861	[ws] Wikisource
A Alegria da Revolução|Ken Knab	A Alegria da Revolução	Ken Knab	.pdf	768,58              KB	12.963	[eb] eBooksBrasil
A Alma Encantadora das Ruas|João do Rio	A Alma Encantadora das Ruas	João do Rio	.pdf	577,13              KB	76.020	[bn] Fundação Biblioteca Nacional
A Alma Encantadora das Ruas|João do Rio	A Alma Encantadora das Ruas	João do Rio	.pdf	809,88              KB	23.688	[bi] Biblioteca Virtual de Literatura
A Alma do Lázaro|José de Alencar	A Alma do Lázaro	José de Alencar	.pdf	208,77              KB	31.523	[bi] Biblioteca Virtual de Literatura
A Almanjarra|Artur Azevedo	A Almanjarra	Artur Azevedo	.pdf	164,68              KB	5.529	[bi] Biblioteca Virtual de Literatura
A Ama-Seca|Artur Azevedo	A Ama-Seca	Artur Azevedo	.pdf	58,76              KB	21.804	[bi] Biblioteca Virtual de Literatura
A Arrábida|Alexandre Herculano	A Arrábida	Alexandre Herculano	.pdf	69,22              KB	9.969	[bi] Biblioteca Virtual de Literatura
A Bela Madame Vargas|João do Rio	A Bela Madame Vargas	João do Rio	.pdf	226,22              KB	15.312	[fs] Universidade Federal de Santa Catarina - UFSC
A Bonaval quer'eu, mia senhor, ir|Bernardo de Bonaval	A Bonaval quer'eu, mia senhor, ir	Bernardo de Bonaval	.pdf	30,41              KB	1.069	[wk] Wikipédia, a enciclopédia livre
A Brasileira de Prazins|Camilo Castelo Branco	A Brasileira de Prazins	Camilo Castelo Branco	.pdf	758,77              KB	22.979	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Campanha Abolicionista|José Carlos do Patrocínio	A Campanha Abolicionista	José Carlos do Patrocínio	.pdf	735,20              KB	11.633	[bn] Fundação Biblioteca Nacional
A Capital Federal|Artur Azevedo	A Capital Federal	Artur Azevedo	.pdf	1,02              MB	16.576	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Capital Federal|Artur Azevedo	A Capital Federal	Artur Azevedo	.pdf	202,51              KB	2.641	[ua] Universidade da Amazônia - UNAMA
A Capital Federal|Artur Azevedo	A Capital Federal	Artur Azevedo	.pdf	318,58              KB	4.434	[bn] Fundação Biblioteca Nacional
A Carne|Júlio Ribeiro	A Carne	Júlio Ribeiro	.pdf	378,11              KB	30.508	[bn] Fundação Biblioteca Nacional
A Carne|Júlio Ribeiro	A Carne	Júlio Ribeiro	.pdf	287,25              KB	4.973	[ua] Universidade da Amazônia - UNAMA
A Carne|Júlio Ribeiro	A Carne	Júlio Ribeiro	.pdf	501,78              KB	23.284	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Carta|Pero Vaz de Caminha	A Carta	Pero Vaz de Caminha	.pdf	91,10              KB	128.841	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Carta|Pero Vaz de Caminha	A Carta	Pero Vaz de Caminha	.pdf	59,32              KB	33.040	[ua] Universidade da Amazônia - UNAMA
A Carta de Mestre João Faras|Mestre João Faras	A Carta de Mestre João Faras	Mestre João Faras	.pdf	11,35              KB	4.806	[cv] CultVox
A Carteira|Machado de Assis	A Carteira	Machado de Assis	.pdf	30,24              KB	87.150	[ua] Universidade da Amazônia - UNAMA
A Carteira|Machado de Assis	A Carteira	Machado de Assis	.pdf	63,46              KB	154.452	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Cartomante|Machado de Assis	A Cartomante	Machado de Assis	.pdf	79,90              KB	243.929	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Cartomante|Machado de Assis	A Cartomante	Machado de Assis	.pdf	39,64              KB	106.808	[ua] Universidade da Amazônia - UNAMA
A Casa Fechada|Roberto Gomes Ribeiro	A Casa Fechada	Roberto Gomes Ribeiro	.pdf	115,97              KB	9.818	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Casadinha de Fresco|Artur Azevedo	A Casadinha de Fresco	Artur Azevedo	.pdf	608,24              KB	16.155	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Casinha de Fresco|Artur Azevedo	A Casinha de Fresco	Artur Azevedo	.pdf	146,45              KB	5.948	[ua] Universidade da Amazônia - UNAMA
A Causa Secreta|Machado de Assis	A Causa Secreta	Machado de Assis	.pdf	40,80              KB	38.881	[ua] Universidade da Amazônia - UNAMA
A Causa Secreta|Machado de Assis	A Causa Secreta	Machado de Assis	.pdf	82,53              KB	80.779	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Chinela Turca|Machado de Assis	A Chinela Turca	Machado de Assis	.pdf	85,09              KB	52.365	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Cidade e as Serras|José Maria Eça de Queirós	A Cidade e as Serras	José Maria Eça de Queirós	.pdf	1.021,77              KB	104.284	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Condessa Vésper|Aluísio Azevedo	A Condessa Vésper	Aluísio Azevedo	.pdf	1,20              MB	15.944	[bi] Biblioteca Virtual de Literatura
A Confissão de Lúcio|Mário de Sá-Carneiro	A Confissão de Lúcio	Mário de Sá-Carneiro	.pdf	165,61              KB	9.821	[ua] Universidade da Amazônia - UNAMA
A Confissão de Lúcio|Mário de Sá-Carneiro	A Confissão de Lúcio	Mário de Sá-Carneiro	.pdf	367,67              KB	16.632	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Conquista|Coelho Neto	A Conquista	Coelho Neto	.pdf	381,70              KB	14.439	[bi] Biblioteca Virtual de Literatura
A Conquista|Coelho Neto	A Conquista	Coelho Neto	.pdf	514,84              KB	5.032	[ua] Universidade da Amazônia - UNAMA
A Conselho do Marido|Artur Azevedo	A Conselho do Marido	Artur Azevedo	.pdf	51,55              KB	15.260	[bi] Biblioteca Virtual de Literatura
A Cruz Mutilada|Alexandre Herculano	A Cruz Mutilada	Alexandre Herculano	.pdf	67,23              KB	12.479	[bi] Biblioteca Virtual de Literatura
A Dama das Camélias|Alexandre Dumas	A Dama das Camélias	Alexandre Dumas	.pdf	178,60              KB	60.149	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Dama das Camélias|Alexandre Dumas	A Dama das Camélias	Alexandre Dumas	.pdf	144,44              KB	33.400	[ua] Universidade da Amazônia - UNAMA
A Dama do pé-de-cabra|Alexandre Herculano	A Dama do pé-de-cabra	Alexandre Herculano	.pdf	143,36              KB	3.896	[ws] Wikisource
A Dança dos Ossos|Bernardo Guimarães	A Dança dos Ossos	Bernardo Guimarães	.pdf	55,62              KB	20.569	[ua] Universidade da Amazônia - UNAMA
A Desejada das Gentes|Machado de Assis	A Desejada das Gentes	Machado de Assis	.pdf	39,00              KB	24.948	[ua] Universidade da Amazônia - UNAMA
A Desejada das Gentes|Machado de Assis	A Desejada das Gentes	Machado de Assis	.pdf	78,95              KB	37.605	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Desobediência Civil|Henry David Thoreau	A Desobediência Civil	Henry David Thoreau	.pdf	49,29              KB	47.764	[cv] CultVox
A Divina Comédia|Dante Alighieri	A Divina Comédia	Dante Alighieri	.pdf	1,71              MB	1.563.720	[eb] eBooksBrasil
A Doença do Fabrício|Artur Azevedo	A Doença do Fabrício	Artur Azevedo	.pdf	42,29              KB	4.797	[bi] Biblioteca Virtual de Literatura
A Dívida|Artur Azevedo	A Dívida	Artur Azevedo	.pdf	91,50              KB	14.199	[bi] Biblioteca Virtual de Literatura
A Ela|Machado de Assis	A Ela	Machado de Assis	.pdf	47,21              KB	67.604	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Escrava Isaura|Bernardo Guimarães	A Escrava Isaura	Bernardo Guimarães	.pdf	1,04              MB	67.878	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Escrava Isaura|Bernardo Guimarães	A Escrava Isaura	Bernardo Guimarães	.pdf	294,33              KB	24.483	[ua] Universidade da Amazônia - UNAMA
A Esfinge sem Segredo|Oscar Wilde	A Esfinge sem Segredo	Oscar Wilde	.pdf	127,23              KB	88.052	[ph] Phoenix-Library
A Eugênia|Auta de Sousa	A Eugênia	Auta de Sousa	.pdf	33,74              KB	1.494	[wk] Wikipédia, a enciclopédia livre
A Filha Maria de Angu|Artur Azevedo	A Filha Maria de Angu	Artur Azevedo	.pdf	127,76              KB	3.296	[ua] Universidade da Amazônia - UNAMA
A Filha de Maria Angu|Artur Azevedo	A Filha de Maria Angu	Artur Azevedo	.pdf	560,97              KB	4.094	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Filosofia do Mendes|Artur Azevedo	A Filosofia do Mendes	Artur Azevedo	.pdf	43,10              KB	4.254	[bi] Biblioteca Virtual de Literatura
A Harpa do Crente|Alexandre Herculano	A Harpa do Crente	Alexandre Herculano	.pdf	157,03              KB	37.037	[ua] Universidade da Amazônia - UNAMA
A Herança|Machado de Assis	A Herança	Machado de Assis	.pdf	92,17              KB	46.268	[fs] Universidade Federal de Santa Catarina - UFSC
A Igreja do Diabo|Machado de Assis	A Igreja do Diabo	Machado de Assis	.pdf	92,44              KB	160.324	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Igreja do Diabo|Machado de Assis	A Igreja do Diabo	Machado de Assis	.pdf	38,03              KB	63.464	[ua] Universidade da Amazônia - UNAMA
A Ilha da Maré|Oliveira	A Ilha da Maré	Oliveira	.pdf	38,33              KB	3.394	[ua] Universidade da Amazônia - UNAMA
A Ilha da Maré|Oliveira	A Ilha da Maré	Oliveira	.pdf	65,67              KB	3.277	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Ilustre Casa de Ramires|José Maria Eça de Queirós	A Ilustre Casa de Ramires	José Maria Eça de Queirós	.pdf	1,33              MB	25.939	[bi] Biblioteca Virtual de Literatura
A Inglezinha Barcelos|Machado de Assis	A Inglezinha Barcelos	Machado de Assis	.pdf	84,71              KB	26.786	[fs] Universidade Federal de Santa Catarina - UFSC
A Intrusa|Júlia Lopes de Almeida	A Intrusa	Júlia Lopes de Almeida	.pdf	570,62              KB	5.617	[bn] Fundação Biblioteca Nacional
A J. J. C. Macedo-Júnior|Casimiro de Abreu	A J. J. C. Macedo-Júnior	Casimiro de Abreu	.pdf	40,68              KB	1.339	[wk] Wikipédia, a enciclopédia livre
A Jóia|Artur Azevedo	A Jóia	Artur Azevedo	.pdf	95,28              KB	3.558	[ua] Universidade da Amazônia - UNAMA
A Jóia|Artur Azevedo	A Jóia	Artur Azevedo	.pdf	475,29              KB	4.103	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Júlia|Auta de Sousa	A Júlia	Auta de Sousa	.pdf	32,89              KB	1.191	[wk] Wikipédia, a enciclopédia livre
A Luneta Mágica|Joaquim Manuel de Macedo	A Luneta Mágica	Joaquim Manuel de Macedo	.pdf	548,11              KB	20.895	[bn] Fundação Biblioteca Nacional
A Luneta Mágica|Joaquim Manuel de Macedo	A Luneta Mágica	Joaquim Manuel de Macedo	.pdf	342,29              KB	4.461	[ua] Universidade da Amazônia - UNAMA
A Luneta Mágica|Joaquim Manuel de Macedo	A Luneta Mágica	Joaquim Manuel de Macedo	.pdf	593,67              KB	5.799	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Luta|Carmen Dolores	A Luta	Carmen Dolores	.pdf	83,94              KB	3.775	[bi] Biblioteca Virtual de Literatura
A Luís|Antônio Frederico de Castro Alves	A Luís	Antônio Frederico de Castro Alves	.pdf	32,85              KB	1.644	[wk] Wikipédia, a enciclopédia livre
A Maciel Pinheiro|Antônio Frederico de Castro Alves	A Maciel Pinheiro	Antônio Frederico de Castro Alves	.pdf	48,42              KB	1.341	[wk] Wikipédia, a enciclopédia livre
A Maldita Parentela|França Júnior	A Maldita Parentela	França Júnior	.pdf	295,98              KB	3.681	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Manhã fresca está, sereno o vento|Abade de Jazente	A Manhã fresca está, sereno o vento	Abade de Jazente	.pdf	34,13              KB	1.142	[wk] Wikipédia, a enciclopédia livre
A Marcelina|Artur Azevedo	A Marcelina	Artur Azevedo	.pdf	67,20              KB	4.047	[bi] Biblioteca Virtual de Literatura
A Margem|José Leon Machado	A Margem	José Leon Machado	.pdf	384,24              KB	4.589	[pv] Projecto Vercial
A Marquesa de Santos|Paulo Setúbal	A Marquesa de Santos	Paulo Setúbal	.pdf	385,80              KB	3.883	[ua] Universidade da Amazônia - UNAMA
A Marquesa de Santos|Paulo Setúbal	A Marquesa de Santos	Paulo Setúbal	.pdf	872,56              KB	5.918	[bi] Biblioteca Virtual de Literatura
A Melhor Amiga|Artur Azevedo	A Melhor Amiga	Artur Azevedo	.pdf	62,92              KB	13.844	[bi] Biblioteca Virtual de Literatura
A Melhor Vingança|Artur Azevedo	A Melhor Vingança	Artur Azevedo	.pdf	44,14              KB	5.948	[bi] Biblioteca Virtual de Literatura
A Mensageira das Violetas|Florbela Espanca	A Mensageira das Violetas	Florbela Espanca	.pdf	239,91              KB	51.082	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Metamorfose|Franz Kafka	A Metamorfose	Franz Kafka	.pdf	113,23              KB	147.082	[ua] Universidade da Amazônia - UNAMA
A Meu Irmão Guilherme de Castro Alves|Antônio Frederico de Castro Alves	A Meu Irmão Guilherme de Castro Alves	Antônio Frederico de Castro Alves	.pdf	33,94              KB	1.571	[wk] Wikipédia, a enciclopédia livre
A Minha Avó|Auta de Sousa	A Minha Avó	Auta de Sousa	.pdf	32,79              KB	1.709	[wk] Wikipédia, a enciclopédia livre
A Moreninha|Joaquim Manuel de Macedo	A Moreninha	Joaquim Manuel de Macedo	.pdf	594,49              KB	89.838	[bn] Fundação Biblioteca Nacional
A Moreninha|Joaquim Manuel de Macedo	A Moreninha	Joaquim Manuel de Macedo	.pdf	273,00              KB	28.358	[ua] Universidade da Amazônia - UNAMA
A Mortalha de Alzira|Aluísio Azevedo	A Mortalha de Alzira	Aluísio Azevedo	.pdf	641,29              KB	3.356	[bn] Fundação Biblioteca Nacional
A Mortalha de Alzira|Aluísio Azevedo	A Mortalha de Alzira	Aluísio Azevedo	.pdf	1.021,57              KB	4.875	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Mortalha de Alzira|Aluísio Azevedo	A Mortalha de Alzira	Aluísio Azevedo	.pdf	324,19              KB	2.213	[ua] Universidade da Amazônia - UNAMA
A Morte de Helena|Auta de Sousa	A Morte de Helena	Auta de Sousa	.pdf	37,29              KB	1.371	[wk] Wikipédia, a enciclopédia livre
A Morte do Lidador|Alexandre Herculano	A Morte do Lidador	Alexandre Herculano	.pdf	46,69              KB	4.007	[ua] Universidade da Amazônia - UNAMA
A Morte do Lidador|Alexandre Herculano	A Morte do Lidador	Alexandre Herculano	.pdf	129,73              KB	4.274	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Moça mais Bonita do Rio de Janeiro|Artur Azevedo	A Moça mais Bonita do Rio de Janeiro	Artur Azevedo	.pdf	156,63              KB	5.032	[bi] Biblioteca Virtual de Literatura
A Mulher de Preto|Machado de Assis	A Mulher de Preto	Machado de Assis	.pdf	157,31              KB	51.941	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Mulher de Preto|Machado de Assis	A Mulher de Preto	Machado de Assis	.pdf	73,86              KB	34.941	[ua] Universidade da Amazônia - UNAMA
A Mão e a Luva|Machado de Assis	A Mão e a Luva	Machado de Assis	.pdf	412,34              KB	93.381	[bn] Fundação Biblioteca Nacional
A Mão e a Luva|Machado de Assis	A Mão e a Luva	Machado de Assis	.pdf	216,11              KB	39.956	[ua] Universidade da Amazônia - UNAMA
A Mão e a Luva|Machado de Assis	A Mão e a Luva	Machado de Assis	.pdf	369,84              KB	39.268	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Normalista|Adolfo Caminha	A Normalista	Adolfo Caminha	.pdf	368,87              KB	4.882	[ua] Universidade da Amazônia - UNAMA
A Normalista|Adolfo Caminha	A Normalista	Adolfo Caminha	.pdf	721,90              KB	7.240	[bn] Fundação Biblioteca Nacional
A Nota de Cem Mil-Réis|Artur Azevedo	A Nota de Cem Mil-Réis	Artur Azevedo	.pdf	53,39              KB	3.924	[bi] Biblioteca Virtual de Literatura
A Nova Califórnia|Afonso Henriques de Lima Barreto	A Nova Califórnia	Afonso Henriques de Lima Barreto	.pdf	965,37              KB	5.752	[ua] Universidade da Amazônia - UNAMA
A Nova Califórnia|Afonso Henriques de Lima Barreto	A Nova Califórnia	Afonso Henriques de Lima Barreto	.pdf	73,41              KB	5.026	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Nova Califórnia|Afonso Henriques de Lima Barreto	A Nova Califórnia	Afonso Henriques de Lima Barreto	.pdf	429,11              KB	4.089	[bn] Fundação Biblioteca Nacional
A Onde Vai a Lágrima|Auta de Sousa	A Onde Vai a Lágrima	Auta de Sousa	.pdf	32,24              KB	1.457	[wk] Wikipédia, a enciclopédia livre
A Orgia dos Duendes|Bernardo Guimarães	A Orgia dos Duendes	Bernardo Guimarães	.pdf	58,21              KB	4.191	[fs] Universidade Federal de Santa Catarina - UFSC
A Orgia dos Duendes|Bernardo Guimarães	A Orgia dos Duendes	Bernardo Guimarães	.pdf	92,74              KB	21.163	[bn] Fundação Biblioteca Nacional
A Origem do Mênstruo|Bernardo Guimarães	A Origem do Mênstruo	Bernardo Guimarães	.pdf	62,73              KB	4.002	[fs] Universidade Federal de Santa Catarina - UFSC
A Origem do Mênstruo|Bernardo Guimarães	A Origem do Mênstruo	Bernardo Guimarães	.pdf	32,60              KB	3.225	[ua] Universidade da Amazônia - UNAMA
A Parasita Azul|Machado de Assis	A Parasita Azul	Machado de Assis	.pdf	187,55              KB	27.484	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Partida|Coelho Neto	A Partida	Coelho Neto	.pdf	219,96              KB	4.244	[bi] Biblioteca Virtual de Literatura
A Pata da Gazela|José de Alencar	A Pata da Gazela	José de Alencar	.pdf	360,17              KB	17.821	[bn] Fundação Biblioteca Nacional
A Pata da Gazela|José de Alencar	A Pata da Gazela	José de Alencar	.pdf	405,50              KB	5.058	[ua] Universidade da Amazônia - UNAMA
A Pata da Gazela|José de Alencar	A Pata da Gazela	José de Alencar	.pdf	331,03              KB	5.040	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Pele do Lobo|Artur Azevedo	A Pele do Lobo	Artur Azevedo	.pdf	45,88              KB	4.345	[ua] Universidade da Amazônia - UNAMA
A Pele do Lobo|Artur Azevedo	A Pele do Lobo	Artur Azevedo	.pdf	187,49              KB	31.398	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Pianista|Machado de Assis	A Pianista	Machado de Assis	.pdf	140,67              KB	55.105	[fs] Universidade Federal de Santa Catarina - UFSC
A Poesia Interminável|João da Cruz e Sousa	A Poesia Interminável	João da Cruz e Sousa	.pdf	549,22              KB	14.281	[bn] Fundação Biblioteca Nacional
A Polêmica|Artur Azevedo	A Polêmica	Artur Azevedo	.pdf	54,73              KB	5.480	[bi] Biblioteca Virtual de Literatura
A Princesa de Babilônia|François-Marie Arouet (Voltaire)	A Princesa de Babilônia	François-Marie Arouet (Voltaire)	.pdf	132,35              KB	39.494	[cv] CultVox
A Princesa dos Cajueiros|Artur Azevedo	A Princesa dos Cajueiros	Artur Azevedo	.pdf	128,43              KB	2.024	[ua] Universidade da Amazônia - UNAMA
A Princesa dos Cajueiros|Artur Azevedo	A Princesa dos Cajueiros	Artur Azevedo	.pdf	482,32              KB	3.869	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Relíquia|José Maria Eça de Queirós	A Relíquia	José Maria Eça de Queirós	.pdf	974,16              KB	35.317	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Retirada da Laguna|Visconde de Taunay	A Retirada da Laguna	Visconde de Taunay	.pdf	484,16              KB	6.713	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Retirada da Laguna|Visconde de Taunay	A Retirada da Laguna	Visconde de Taunay	.pdf	261,81              KB	4.438	[ua] Universidade da Amazônia - UNAMA
A Ritinha|Artur Azevedo	A Ritinha	Artur Azevedo	.pdf	57,07              KB	4.361	[bi] Biblioteca Virtual de Literatura
A Segunda Vida|Machado de Assis	A Segunda Vida	Machado de Assis	.pdf	57,56              KB	48.380	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Semana|Machado de Assis	A Semana	Machado de Assis	.pdf	625,64              KB	32.455	[ua] Universidade da Amazônia - UNAMA
A Semana|Machado de Assis	A Semana	Machado de Assis	.pdf	1,18              MB	28.991	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Semana Santa|Alexandre Herculano	A Semana Santa	Alexandre Herculano	.pdf	89,18              KB	3.613	[bi] Biblioteca Virtual de Literatura
A Senhora do Galvão|Machado de Assis	A Senhora do Galvão	Machado de Assis	.pdf	74,61              KB	27.180	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Sereníssima República|Machado de Assis	A Sereníssima República	Machado de Assis	.pdf	92,96              KB	34.548	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Tempestade|Alexandre Herculano	A Tempestade	Alexandre Herculano	.pdf	44,56              KB	5.086	[bi] Biblioteca Virtual de Literatura
A Ulina|Manuel Maria de Barbosa du Bocage	A Ulina	Manuel Maria de Barbosa du Bocage	.pdf	30,49              KB	1.911	[wk] Wikipédia, a enciclopédia livre
A Vida Eterna|Machado de Assis	A Vida Eterna	Machado de Assis	.pdf	108,03              KB	49.904	[fs] Universidade Federal de Santa Catarina - UFSC
A Vitória e a Piedade|Alexandre Herculano	A Vitória e a Piedade	Alexandre Herculano	.pdf	67,51              KB	3.638	[bi] Biblioteca Virtual de Literatura
A Viuvinha|José de Alencar	A Viuvinha	José de Alencar	.pdf	247,48              KB	7.864	[ua] Universidade da Amazônia - UNAMA
A Viuvinha|José de Alencar	A Viuvinha	José de Alencar	.pdf	188,95              KB	39.392	[bn] Fundação Biblioteca Nacional
A Viuvinha|José de Alencar	A Viuvinha	José de Alencar	.pdf	225,36              KB	15.134	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
A Viúva do Estanislau|Artur Azevedo	A Viúva do Estanislau	Artur Azevedo	.pdf	45,02              KB	3.362	[bi] Biblioteca Virtual de Literatura
A Volta ao Mundo em 80 Dias|Júlio Verne	A Volta ao Mundo em 80 Dias	Júlio Verne	.pdf	2,60              MB	105.430	[ph] Phoenix-Library
A Volta ao Mundo em Oitenta Dias|Júlio Verne	A Volta ao Mundo em Oitenta Dias	Júlio Verne	.pdf	2,60              MB	47.047	[eb] eBooksBrasil
A Voz|Alexandre Herculano	A Voz	Alexandre Herculano	.pdf	38,07              KB	4.270	[bi] Biblioteca Virtual de Literatura
A bico de pena: fantasias, contos e ferfis (coleção revivendo, nº 4)|Coelho Netto	A bico de pena: fantasias, contos e ferfis (coleção revivendo, nº 4)	Coelho Netto	.pdf	851,71              KB	2.264	[ub] Universidade de Brasília
A boa vista|Antônio Frederico de Castro Alves	A boa vista	Antônio Frederico de Castro Alves	.pdf	41,18              KB	2.193	[wk] Wikipédia, a enciclopédia livre
A cachoeira|Antônio Frederico de Castro Alves	A cachoeira	Antônio Frederico de Castro Alves	.pdf	36,58              KB	1.912	[wk] Wikipédia, a enciclopédia livre
A cachoeira de Paulo Afonso|Antônio Frederico de Castro Alves	A cachoeira de Paulo Afonso	Antônio Frederico de Castro Alves	.pdf	301,48              KB	3.876	[jp] Jornal de Poesia
A campanha da Cordilheira: diário do exército, volume 1|Visconde de Taunay	A campanha da Cordilheira: diário do exército, volume 1	Visconde de Taunay	.pdf	975,49              KB	2.583	[ub] Universidade de Brasília
A canoa fantástica|Antônio Frederico de Castro Alves	A canoa fantástica	Antônio Frederico de Castro Alves	.pdf	33,42              KB	2.338	[wk] Wikipédia, a enciclopédia livre
A capital|José Maria Eça de Queirós	A capital	José Maria Eça de Queirós	.pdf	20,18              MB	4.524	[ub] Universidade de Brasília
A chave|Machado de Assis	A chave	Machado de Assis	.pdf	138,02              KB	45.838	[fs] Universidade Federal de Santa Catarina - UFSC
A criança que pensa em fadas|Alberto Caeiro	A criança que pensa em fadas	Alberto Caeiro	.pdf	32,72              KB	3.594	[wk] Wikipédia, a enciclopédia livre
A criação fantástica do humano e o conhecimento de mundo: contextos para o estudo da obra frankenstein de Mary Shelley|Ana Claudia Brida	A criação fantástica do humano e o conhecimento de mundo: contextos para o estudo da obra frankenstein de Mary Shelley	Ana Claudia Brida	.pdf	400,39              KB	1.334	[ea] Edição do Autor
A declamação trágica|José Basílio da Gama	A declamação trágica	José Basílio da Gama	.pdf	63,77              KB	1.330	[wk] Wikipédia, a enciclopédia livre
A descoberta da Índia|Coelho Netto	A descoberta da Índia	Coelho Netto	.pdf	388,71              KB	1.346	[ub] Universidade de Brasília
A divina quimera|Eduardo Guimaraens	A divina quimera	Eduardo Guimaraens	.pdf	164,02              KB	2.586	[vo] Colaboração Voluntária
A dona que eu am’e tenho por senhor|Bernardo de Bonaval	A dona que eu am’e tenho por senhor	Bernardo de Bonaval	.pdf	37,15              KB	855	[wk] Wikipédia, a enciclopédia livre
A duas flores|Antônio Frederico de Castro Alves	A duas flores	Antônio Frederico de Castro Alves	.pdf	31,60              KB	2.175	[wk] Wikipédia, a enciclopédia livre
A epifania em Clarice Lispector|Achilles Cleto Cabral da Luz	A epifania em Clarice Lispector	Achilles Cleto Cabral da Luz	.pdf	413,40              KB	957	[ea] Edição do Autor
A esfinge sem segredo|Oscar Wilde	A esfinge sem segredo	Oscar Wilde	.pdf	127,23              KB	32.411	[ph] Phoenix-Library
A espantosa realidade das cousas|Alberto Caeiro	A espantosa realidade das cousas	Alberto Caeiro	.pdf	35,35              KB	2.415	[wk] Wikipédia, a enciclopédia livre
A evolução feminista e o comportamento da mulher entre as décadas de 60 e 80 nas obras de Nelson Rodrigues e Ignácio de Loyola Brandão|Andressa Aparecida Evangelista	A evolução feminista e o comportamento da mulher entre as décadas de 60 e 80 nas obras de Nelson Rodrigues e Ignácio de Loyola Brandão	Andressa Aparecida Evangelista	.pdf	68,33              KB	1.194	[ea] Edição do Autor
A falência|Júlia Lopes de Almeida	A falência	Júlia Lopes de Almeida	.pdf	963,18              KB	35.478	[bi] Biblioteca Virtual de Literatura
A garganta do diabo|Edio Riedi	A garganta do diabo	Edio Riedi	.pdf	1,26              MB	1.382	[ea] Edição do Autor
A gran dereito lazerei|Afonso Eanes de Coton	A gran dereito lazerei	Afonso Eanes de Coton	.pdf	33,08              KB	814	[wk] Wikipédia, a enciclopédia livre
A guerra que aflige com seus esquadrões|Alberto Caeiro	A guerra que aflige com seus esquadrões	Alberto Caeiro	.pdf	36,52              KB	1.068	[wk] Wikipédia, a enciclopédia livre
A história de Seny - A caminhada|Sylvia Senny	A história de Seny - A caminhada	Sylvia Senny	.pdf	541,57              KB	5.070	[ea] Edição do Autor
