original_id	work_title	work_authors	file_format	file_size	number_of_access	original_source
Discurso de Posse na ABL|Emílio de Meneses	Discurso de Posse na ABL	Emílio de Meneses	.pdf	90,35              KB	788	[fs] Universidade Federal de Santa Catarina - UFSC
Discurso sobre a História da Literatura do Brasil|Domingos Gonçalves de Magalhães	Discurso sobre a História da Literatura do Brasil	Domingos Gonçalves de Magalhães	.pdf	153,62              KB	4.064	[bn] Fundação Biblioteca Nacional
Discursos (obras completas)|Tobias Barreto de Menezes	Discursos (obras completas)	Tobias Barreto de Menezes	.pdf	13,60              MB	2.104	[ub] Universidade de Brasília
Dispersão|Mário de Sá-Carneiro	Dispersão	Mário de Sá-Carneiro	.pdf	41,71              KB	5.808	[vo] Colaboração Voluntária
Disse-m'hoj'un cavaleiro|Dom Dinis	Disse-m'hoj'un cavaleiro	Dom Dinis	.pdf	41,15              KB	462	[wk] Wikipédia, a enciclopédia livre
Diss´a fremosa en Bonaval assí|Bernardo de Bonaval	Diss´a fremosa en Bonaval assí	Bernardo de Bonaval	.pdf	38,23              KB	521	[wk] Wikipédia, a enciclopédia livre
Diva|José de Alencar	Diva	José de Alencar	.pdf	360,43              KB	12.582	[bn] Fundação Biblioteca Nacional
Diva|José de Alencar	Diva	José de Alencar	.pdf	358,41              KB	5.323	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
Dizede por Deus amigo|Dom Dinis	Dizede por Deus amigo	Dom Dinis	.pdf	41,61              KB	512	[wk] Wikipédia, a enciclopédia livre
Dizem que em cada coisa uma coisa oculta mora|Alberto Caeiro	Dizem que em cada coisa uma coisa oculta mora	Alberto Caeiro	.pdf	36,04              KB	921	[wk] Wikipédia, a enciclopédia livre
Dizes-me: tu és mais alguma cousa|Alberto Caeiro	Dizes-me: tu és mais alguma cousa	Alberto Caeiro	.pdf	35,20              KB	825	[wk] Wikipédia, a enciclopédia livre
Dizia la fremozinha|Afonso Sanches	Dizia la fremozinha	Afonso Sanches	.pdf	32,37              KB	538	[wk] Wikipédia, a enciclopédia livre
Diálogo dos ecos|Antônio Frederico de Castro Alves	Diálogo dos ecos	Antônio Frederico de Castro Alves	.pdf	37,79              KB	1.291	[wk] Wikipédia, a enciclopédia livre
Diálogos das Grandezas do Brasil|Izaak Walton	Diálogos das Grandezas do Brasil	Izaak Walton	.pdf	1.009,52              KB	6.193	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
Diário íntimo|Afonso Henriques de Lima Barreto	Diário íntimo	Afonso Henriques de Lima Barreto	.pdf	381,43              KB	33.626	[bn] Fundação Biblioteca Nacional
Do Livro do Desassossego|Fernando Pessoa	Do Livro do Desassossego	Fernando Pessoa	.pdf	130,53              KB	180.817	[pe] Pessoa Revisitado
Doente|Auta de Sousa	Doente	Auta de Sousa	.pdf	32,02              KB	513	[wk] Wikipédia, a enciclopédia livre
Dois proveitos em um saco|França Júnior	Dois proveitos em um saco	França Júnior	.pdf	109,23              KB	1.110	[bi] Biblioteca Virtual de Literatura
Dolores|Auta de Sousa	Dolores	Auta de Sousa	.pdf	33,90              KB	618	[wk] Wikipédia, a enciclopédia livre
Dom Casmurro|Machado de Assis	Dom Casmurro	Machado de Assis	.pdf	365,80              KB	64.686	[ua] Universidade da Amazônia - UNAMA
Dom Casmurro|Machado de Assis	Dom Casmurro	Machado de Assis	.pdf	623,57              KB	339.814	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
Dom Casmurro|Machado de Assis	Dom Casmurro	Machado de Assis	.pdf	548,17              KB	175.570	[bn] Fundação Biblioteca Nacional
Don Quixote. Vol. 1|Miguel de Cervantes Saavedra	Don Quixote. Vol. 1	Miguel de Cervantes Saavedra	.pdf	1,82              MB	85.772	[eb] eBooksBrasil
Don Quixote. Vol. 2|Miguel de Cervantes Saavedra	Don Quixote. Vol. 2	Miguel de Cervantes Saavedra	.pdf	1,76              MB	43.892	[eb] eBooksBrasil
Dona Eulália|Artur Azevedo	Dona Eulália	Artur Azevedo	.pdf	60,72              KB	1.967	[bi] Biblioteca Virtual de Literatura
Dona Guidinha do Poço|Manuel de Oliveira Paiva	Dona Guidinha do Poço	Manuel de Oliveira Paiva	.pdf	322,16              KB	3.015	[ua] Universidade da Amazônia - UNAMA
Dona Guidinha do Poço|Manuel de Oliveira Paiva	Dona Guidinha do Poço	Manuel de Oliveira Paiva	.pdf	533,21              KB	1.877	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
Dores|Casimiro de Abreu	Dores	Casimiro de Abreu	.pdf	39,01              KB	1.008	[wk] Wikipédia, a enciclopédia livre
Dos que ora son na hoste|Dom Dinis	Dos que ora son na hoste	Dom Dinis	.pdf	40,28              KB	539	[wk] Wikipédia, a enciclopédia livre
Duas Apostas|Artur Azevedo	Duas Apostas	Artur Azevedo	.pdf	49,66              KB	1.921	[bi] Biblioteca Virtual de Literatura
Duas Juízas|Machado de Assis	Duas Juízas	Machado de Assis	.pdf	34,34              KB	6.581	[ua] Universidade da Amazônia - UNAMA
Décima|Frei Caneca	Décima	Frei Caneca	.pdf	50,96              KB	646	[ws] Wikisource
Dívida Extinta|Machado de Assis	Dívida Extinta	Machado de Assis	.pdf	133,44              KB	4.781	[fs] Universidade Federal de Santa Catarina - UFSC
Eficiência Militar|Afonso Henriques de Lima Barreto	Eficiência Militar	Afonso Henriques de Lima Barreto	.pdf	198,19              KB	4.268	[ua] Universidade da Amazônia - UNAMA
Elbow-Room - A Novel Without a Plot|Charles Heber Clark	Elbow-Room - A Novel Without a Plot	Charles Heber Clark	.pdf	767,08              KB	521	[gu] Projeto Gutenberg
Elefantes e Ursos|Artur Azevedo	Elefantes e Ursos	Artur Azevedo	.pdf	40,55              KB	2.993	[bi] Biblioteca Virtual de Literatura
Elogio da vaidade|Machado de Assis	Elogio da vaidade	Machado de Assis	.pdf	84,36              KB	9.732	[fs] Universidade Federal de Santa Catarina - UFSC
Em Sonhos|Artur Azevedo	Em Sonhos	Artur Azevedo	.pdf	39,44              KB	2.397	[bi] Biblioteca Virtual de Literatura
Em busca dos contos perdidos|Mariza B. T. Mendes	Em busca dos contos perdidos	Mariza B. T. Mendes	.pdf	926,33              KB	4.508	[up] Fundação Editora da Unesp
Em gram coita, senhor|Dom Dinis	Em gram coita, senhor	Dom Dinis	.pdf	40,52              KB	496	[wk] Wikipédia, a enciclopédia livre
En grave día, senhor, que vos oí|Dom Dinis	En grave día, senhor, que vos oí	Dom Dinis	.pdf	43,17              KB	486	[wk] Wikipédia, a enciclopédia livre
Encarnação|José de Alencar	Encarnação	José de Alencar	.pdf	306,04              KB	6.896	[bn] Fundação Biblioteca Nacional
