genre_id	supergenre	genre
8468140179844762844	Fiction	Fantasy
1600658524006022862	Fiction	Romance
7248432145049554647	Fiction	Young-adult
713025401256680772	Fiction	Mystery
268840643564512041	Fiction	Classics
7274986033914489986	Fiction	Contemporary
8275922728976671429	Fiction	Sci-fi
3380037866846902461	Fiction	Horror
6920310347280451880	Fiction	Historical
6092897287450015977	Fiction	Thriller
5781435188249100625	Fiction	Novels
7009491712655654857	Fiction	Adventure
8003097704989866542	Fiction	Short-stories
3111619372821801643	Fiction	Book-club
6226599300517464561	Fiction	Childrens
3972910088262407658	Fiction	Humor
4272820061372191805	Fiction	Literature
8621996787931739270	Fiction	Adult-fiction
4039767152859330155	Fiction	Drama
550884346415840601	Fiction	Suspense
4714985478275161573	Fiction	Chick-lit
2873130705169411007	Fiction	Family
3708889896876882875	Fiction	Realisticfiction
8120357280797902503	Fiction	Literary-fiction
5957123454206637636	Fiction	Action
8089357397724817735	Fiction	Plays
8017058308598258465	Fiction	Speculative-fiction
3123198216630338707	Fiction	Juvenile
567528317783007466	Fiction	Christian-fiction
1711791781308125441	Fiction	Magical-realism
926486268492926857	Fiction	Cultural-fiction
7941822883824674519	Fiction	Gothic
5874209907058211540	Fiction	Epic
1244584299698469615	Fiction	Retellings
310620112118084823	Fiction	Tragedy
6892692810045399622	Fiction	Womens-fiction
5540966419834403651	Fiction	Pulp
2885668210787794364	Fiction	Media-tie-in
6870604064615271638	Fiction	Westerns
1576335559035367569	Fiction	Folk-tales
6051297032732456623	Nonfiction	History
1781462550583225556	Nonfiction	Philosophy
7566248721082149566	Nonfiction	Biography
4839894128820023239	Nonfiction	Science‎
233940041147528700	Nonfiction	Science
24282046519997211	Nonfiction	Psychology
5355615416904888228	Nonfiction	Politics
8338950291135995448	Nonfiction	Religion
9160552981174189054	Nonfiction	Reference
3821601617551181886	Nonfiction	Art
3997540533738233604	Nonfiction	Business
7047015726555441144	Nonfiction	Self-help
1730082056139939201	Nonfiction	Travel
7808935000339562606	Nonfiction	Cookbooks
3725490016866106836	Nonfiction	Music
6288138197119067340	Nonfiction	Education
5306452128413510205	Nonfiction	Spirituality
8208480878289546974	Nonfiction	Economics
4867842274994332492	Nonfiction	Sociology
3883596122496599678	Nonfiction	Health
6949274667015544169	Nonfiction	Cultural
7163371055547641474	Nonfiction	Academic
4343008393214757212	Nonfiction	Christianity
3096682792244113021	Nonfiction	Parenting
3299482035360350646	Nonfiction	Leadership
7203558805113667835	Nonfiction	Social-issues
1252047752958240850	Nonfiction	Anthropology
4985680887242726158	Nonfiction	Marriage
173316424456880433	Nonfiction	Design
513365962435424626	Nonfiction	Criticism
6626248301151495629	Nonfiction	Folklore
6411612732866660373	Nonfiction	Social-science
8281516633171091627	Nonfiction	Law
4277271111927728852	Nonfiction	Environment
4727424525307089180	Nonfiction	Architecture
3108115872153874493	Nonfiction	Humanities
1850260647209771261	Nonfiction	How-to
7825661491697420035	Nonfiction	True-story
1381935804351267458	Nonfiction	Gardening
2270611454598076410	Nonfiction	Crafts
