original_id	goodreads_id
A menina do narizinho arrebitado|Monteiro Lobato	39792746
A menina morta|Cornélio Pena	3754711
A morgadinha dos canaviais|Júlio Dinis	303482
A morte de D. João|Guerra Junqueiro	13644082
"A morte do rei Humberto e os críticos do ""Fim dum mundo""|Gomes Leal"	39554968
A morte vence|João Grave	41058490
A mulher de luto|Gomes Leal	12804585
A mulher e os espelhos|João do Rio	13269832
A mulher fatal|Camilo Castelo Branco	7119008
A musa em férias|Guerra Junqueiro	18134895
A nebulosa|Joaquim Manuel de Macedo	44752097
A neta do arcediago|Camilo Castelo Branco	7743422
A onda verde|Monteiro Lobato	18661479
A Pátria Portuguesa. O território e a raça|Sílvio Romero	22713965
À porta da botica|Artur Azevedo, Artur de Azevedo	58511029
A porta do Paraíso|Alberto Pimentel	35616089
A praça nova|Alberto Pimentel	23643183
A praga rogada nas escadas da forca|Camilo Castelo Branco	42335972
A presidência Campos Sales|Alcindo Guanabara	36887332
A primeira mulher de Camilo|Alberto Pimentel	42001227
A princesa de Boivão|Alberto Pimentel	44036591
A Profissão de Jacques Pedreira|João do Rio	27703389
A província|Tavares Bastos	36884663
A Província do Maranhão|César Augusto Marques	38806521
A pulseira de ferro|Amadeu Amaral	35097596
A queda dum anjo|Camilo Castelo Branco	3401591
A Rainha do ignoto|Emília Freitas	15180256
A Reforma pelo jornal|Machado de Assis	53319005
A república federativa |Joaquim Francisco de Assis Brasil	34051269
A revolta da armada de 6 de setembro de 1893|Raul Villa-Lobos	40327834
A rosa do adro|Manuel Maria Rodrigues	6868249
A saudade portuguesa|Carolina Michaëlis de Vasconcelos	12768677
A senhora Rattazzi|Camilo Castelo Branco	10772921
A senhora Viscondessa|Magalhães Lima	27703491
A sereia|Camilo Castelo Branco	11384518
A sibila|Agustina Bessa-Luís	3380429
A Silveirinha|Júlia Lopes de Almeida	6648640
A sobrinha do Marquês|Almeida Garrett	31948191
A sombra do quadrante|Eugénio de Castro	39522093
A Tarde|Antônio Lobo	3358339
A tentação do mar|Augusto Casimiro	43233822
A torre em concurso|Joaquim Manuel de Macedo	37833034
A tragédia da Rua das Flores|Eça de Queirós	6547545
A triste canção do sul|Alberto Pimentel	33961059
A última ceia do Doutor Fausto|Alberto Pimentel	31579096
A última corte do absolutismo em Portugal|Alberto Pimentel	42003388
A varanda de Julieta|Pinheiro Chagas	40701493
A varanda de Natércia|Alberto Pimentel	39111193
A velha disciplina (versos)|J. Dumont	31940424
A velhice da Madre Eterna|Valentim Magalhães;Xavier de Carvalho	41996499
