original_id	work_title	work_authors	authors_lifetime	work_publication_year	work_category	file_format	notes	original_source
Portugal: Constituição politica da Monarchia portugueza|Porto, António Francisco Ferreira da Silva	Portugal: Constituição politica da Monarchia portugueza	Porto, António Francisco Ferreira da Silva	1817-1890	1838	Tratados	HTML, EPUB, MOBI e TXT		Project Gutenberg
Os Sinos|Proença, Raúl	Os Sinos	Proença, Raúl	1884-1941	1908	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Cartas de Inglaterra|Queirós, Eça de	Cartas de Inglaterra	Queirós, Eça de	1845-1900	1905	Cartas	HTML, EPUB, MOBI e TXT		Project Gutenberg
A Cidade e as Serras|Queirós, Eça de	A Cidade e as Serras	Queirós, Eça de	1845-1900	1901	Romance	HTML, EPUB, MOBI e TXT		Project Gutenberg
Contos|Queirós, Eça de	Contos	Queirós, Eça de	1845-1900	1913	Contos	HTML, EPUB, MOBI e TXT		Project Gutenberg
A correspondência de Fradique Mendes|Queirós, Eça de	A correspondência de Fradique Mendes	Queirós, Eça de	1845-1900	1900	Romance	HTML, EPUB, MOBI e TXT		Project Gutenberg
O crime do padre Amaro|Queirós, Eça de	O crime do padre Amaro	Queirós, Eça de	1845-1900	1889	Romance	HTML, EPUB, MOBI e TXT		Project Gutenberg
A Illustre Casa de Ramires|Queirós, Eça de	A Illustre Casa de Ramires	Queirós, Eça de	1845-1900	1900	Romance	HTML, EPUB, MOBI e TXT		Project Gutenberg
Os Maias|Queirós, Eça de	Os Maias	Queirós, Eça de	1845-1900	1888	Romance	HTML, EPUB, MOBI e TXT		Project Gutenberg
O Mandarim|Queirós, Eça de	O Mandarim	Queirós, Eça de	1845-1900	1880	Literatura Fantástica	HTML, EPUB, MOBI e TXT		Project Gutenberg
O Mysterio da Estrada de Cintra|Queirós, Eça de	O Mysterio da Estrada de Cintra	Queirós, Eça de	1845-1900	1894	Policial	HTML, EPUB, MOBI e TXT		Project Gutenberg
O Primo Bazilio|Queirós, Eça de	O Primo Bazilio	Queirós, Eça de	1845-1900	1888	Romance	HTML, EPUB, MOBI e TXT		Project Gutenberg
A Relíquia|Queirós, Eça de	A Relíquia	Queirós, Eça de	1845-1900	1887	Romance	HTML, EPUB, MOBI e TXT		Project Gutenberg
A Cidade e as Serras|Queirós, Eça de	A Cidade e as Serras	Queirós, Eça de	1845-1900		Romance	PDF	Fonte Original: Biblioteca Virtual do Estudante Brasileiro / USP	Portal Domínio Público
O Primo Basílio|Queirós, Eça de	O Primo Basílio	Queirós, Eça de	1845-1900		Romance	PDF	Fonte Original: Phoenix-Library	Portal Domínio Público
Os Maias|Queirós, Eça de	Os Maias	Queirós, Eça de	1845-1900		Romance	PDF	Fonte Original: Phoenix-Library	Portal Domínio Público
O Crime do Padre Amaro|Queirós, Eça de	O Crime do Padre Amaro	Queirós, Eça de	1845-1900		Romance	PDF	Fonte Original: Phoenix-Library	Portal Domínio Público
Os Maias|Queirós, Eça de	Os Maias	Queirós, Eça de	1845-1900	1888	Romance	PDF	Fonte Original: Biblioteca Virtual do Estudante Brasileiro / USP	Portal Domínio Público
O Crime do Padre Amaro|Queirós, Eça de	O Crime do Padre Amaro	Queirós, Eça de	1845-1900	1998	Romance	PDF	Fonte Original: Biblioteca Virtual do Estudante Brasileiro / USP	Portal Domínio Público
Contos|Queirós, Eça de	Contos	Queirós, Eça de	1845-1900		Contos	PDF	Fonte Original: Phoenix-Library	Portal Domínio Público
O Primo Basílio|Queirós, Eça de	O Primo Basílio	Queirós, Eça de	1845-1900		Romance	PDF	Fonte Original: Biblioteca Virtual de Literatura	Portal Domínio Público
A Ilustre Casa de Ramires|Queirós, Eça de	A Ilustre Casa de Ramires	Queirós, Eça de	1845-1900		Romance	PDF	Fonte Original: Biblioteca Virtual de Literatura	Portal Domínio Público
O Primo Basílio|Queirós, Eça de	O Primo Basílio	Queirós, Eça de	1845-1900		Romance	PDF	Fonte Original: Universidade da Amazônia - UNAMA	Portal Domínio Público
Contos|Queirós, Eça de	Contos	Queirós, Eça de	1845-1900	2016	Contos	EPUB		Nativos Digitais Lêem +
Cartas de Inglaterra|Queirós, Eça de	Cartas de Inglaterra	Queirós, Eça de	1845-1900	2016	Cartas	EPUB		Nativos Digitais Lêem +
O Mandarim|Queirós, Eça de	O Mandarim	Queirós, Eça de	1845-1900	2013	Literatura Fantástica	EPUB		Nativos Digitais Lêem +
A Relíquia|Queirós, Eça de	A Relíquia	Queirós, Eça de	1845-1900	2013	Romance	EPUB		Nativos Digitais Lêem +
A Capital|Queirós, Eça de	A Capital	Queirós, Eça de	1845-1900	2013	Romance	EPUB e PDF		Nativos Digitais Lêem +
Da colaboração no «Distrito de Évora» - I|Queirós, Eça de	Da colaboração no «Distrito de Évora» - I	Queirós, Eça de	1845-1900	1981	Crónicas	PDF		Biblioteca Digital do Alentejo
Da colaboração no «Distrito de Évora» - III|Queirós, Eça de	Da colaboração no «Distrito de Évora» - III	Queirós, Eça de	1845-1900	1981	Crónicas	PDF		Biblioteca Digital do Alentejo
Da colaboração no «Distrito de Évora» - Vol. II|Queirós, Eça de	Da colaboração no «Distrito de Évora» - Vol. II	Queirós, Eça de	1845-1900	1981	Crónicas	PDF		Biblioteca Digital do Alentejo
A Ilustre Casa de Ramires|Queirós, Eça de	A Ilustre Casa de Ramires	Queirós, Eça de	1845-1900	2013	Romance	EPUB e MOBI		Projecto Adamastor
Singularidades de uma Rapariga Loura|Queirós, Eça de	Singularidades de uma Rapariga Loura	Queirós, Eça de	1845-1900	2013	Contos	EPUB e MOBI		Projecto Adamastor
O Defunto|Queirós, Eça de	O Defunto	Queirós, Eça de	1845-1900	2013	Contos	EPUB e MOBI		Projecto Adamastor
O Mandarim|Queirós, Eça de	O Mandarim	Queirós, Eça de	1845-1900	2014	Literatura Fantástica	EPUB e MOBI		Projecto Adamastor
A Biblia da Humanidade|Quental, Antero de	A Biblia da Humanidade	Quental, Antero de	1842-1891	1895	Filosofia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Bom-senso e bom-gosto|Quental, Antero de	Bom-senso e bom-gosto	Quental, Antero de	1842-1891	1865	Sátira	HTML, EPUB, MOBI e TXT		Project Gutenberg
Considerações sobre a Philosophia da Historia Litteraria Portugueza|Quental, Antero de	Considerações sobre a Philosophia da Historia Litteraria Portugueza	Quental, Antero de	1842-1891	1904	Ensaio  Literatura	HTML, EPUB, MOBI e TXT		Project Gutenberg
Leituras Populares|Quental, Antero de	Leituras Populares	Quental, Antero de	1842-1891	1896	Ensaio	HTML, EPUB, MOBI e TXT		Project Gutenberg
Liga Patriotica do Norte|Quental, Antero de	Liga Patriotica do Norte	Quental, Antero de	1842-1891	1896	Discursos	HTML, EPUB, MOBI e TXT		Project Gutenberg
Manifesto dos Estudantes da Universidade de Coimbra á opinião illustrada do paiz|Quental, Antero de	Manifesto dos Estudantes da Universidade de Coimbra á opinião illustrada do paiz	Quental, Antero de	1842-1891	1896	Sátira	HTML, EPUB, MOBI e TXT		Project Gutenberg
Oliveira Martins|Quental, Antero de	Oliveira Martins	Quental, Antero de	1842-1891	1894	Biografia	HTML, EPUB, MOBI e TXT		Project Gutenberg
A philosophia da natureza dos naturalistas|Quental, Antero de	A philosophia da natureza dos naturalistas	Quental, Antero de	1842-1891	1894	Filosofia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Portugal perante a revolução de Hespanha|Quental, Antero de	Portugal perante a revolução de Hespanha	Quental, Antero de	1842-1891	1868	Ensaio  Política	HTML, EPUB, MOBI e TXT		Project Gutenberg
Raios de extincta luz|Quental, Antero de	Raios de extincta luz	Quental, Antero de	1842-1891	1892	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Soldados da Revolução|Quental, Antero de	Soldados da Revolução	Quental, Antero de	1842-1891	1896	Cartas	HTML, EPUB, MOBI e TXT		Project Gutenberg
Sonetos|Quental, Antero de	Sonetos	Quental, Antero de	1842-1891	1880	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Os sonetos completos de Anthero de Quental|Quental, Antero de	Os sonetos completos de Anthero de Quental	Quental, Antero de	1842-1891	1886	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Sonetos de Anthero|Quental, Antero de	Sonetos de Anthero	Quental, Antero de	1842-1891	1861	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Antologia|Quental, Antero de	Antologia	Quental, Antero de	1842-1891	1991	Poesia	PDF	Fonte Original: Biblioteca Virtual do Estudante Brasileiro / USP	Portal Domínio Público
Amanda e os Nanorobôs|Quintiliano, Eliú	Amanda e os Nanorobôs	Quintiliano, Eliú			Literatura Infanto-Juvenil	PDF	Fonte Original: Edição do Autor	Portal Domínio Público
As ratices da Rattazzi|Ramalho, Monteiro	As ratices da Rattazzi	Ramalho, Monteiro	1862-1949	1880	Sátira	HTML, EPUB, MOBI e TXT		Project Gutenberg
Tropas e boiadas|Ramos, Hugo de Carvalho	Tropas e boiadas	Ramos, Hugo de Carvalho	1895-1921	1917	Contos	PDF	Fonte Original: Instituto Centro-Brasileiro de Cultura	Portal Domínio Público
Carta a seu mestre|Ratos, Bonifaciano Tranca	Carta a seu mestre	Ratos, Bonifaciano Tranca	1836-1910	18--	Poesia	PDF		Biblioteca Digital do Alentejo
Sesmas|Ratos, Bonifaciano Tranca	Sesmas	Ratos, Bonifaciano Tranca	1836-1910	18--	Poesia	PDF		Biblioteca Digital do Alentejo
Sermas|Ratos, Bonifaciano Tranca	Sermas	Ratos, Bonifaciano Tranca	1836-1910	1906	Poesia	PDF		Biblioteca Digital do Alentejo
Apontamentos sobre a via de communicação do rio Madeira|Rebouças, Antonio Pereira	Apontamentos sobre a via de communicação do rio Madeira	Rebouças, Antonio Pereira	1798-1880	1870	Ensaio  Política	HTML, EPUB, MOBI e TXT		Project Gutenberg
O Descobrimento do Brazil|Redondo, Garcia	O Descobrimento do Brazil	Redondo, Garcia	1854-1916	1911	História  Descobrimentos	HTML, EPUB, MOBI e TXT		Project Gutenberg
Cancioneiro Geral|Resende, Garcia de	Cancioneiro Geral	Resende, Garcia de	1470-1536	1852	Poesia	PDF		Biblioteca Digital do Alentejo
Saudades: história de menina e moça|Ribeiro, Bernardim	Saudades: história de menina e moça	Ribeiro, Bernardim	1482-1552	1916	Novela	HTML, EPUB, MOBI e TXT		Project Gutenberg
Obras Completas - Vol. I|Ribeiro, Bernardim	Obras Completas - Vol. I	Ribeiro, Bernardim	1482-1552	1949	Novela	PDF		Biblioteca Digital do Alentejo
Obras Completas - Vol. II|Ribeiro, Bernardim	Obras Completas - Vol. II	Ribeiro, Bernardim	1482-1552	1950	Poesia	PDF		Biblioteca Digital do Alentejo
Menina e Moça|Ribeiro, Bernardim	Menina e Moça	Ribeiro, Bernardim	1482-1552	1559	Novela	PDF		Biblioteca Digital do Alentejo
A Carne|Ribeiro, Júlio	A Carne	Ribeiro, Júlio	1845-1890		Romance	PDF	Fonte Original: Fundação Biblioteca Nacional	Portal Domínio Público
A Carne|Ribeiro, Júlio	A Carne	Ribeiro, Júlio	1845-1890	1999	Romance	PDF	Fonte Original: Biblioteca Virtual do Estudante Brasileiro / USP	Portal Domínio Público
Uma Estação no Inferno|Rimbaud, Arthur	Uma Estação no Inferno	Rimbaud, Arthur	1854-1891		Poesia	PDF	Fonte Original: CultVox	Portal Domínio Público
Iluminuras|Rimbaud, Arthur	Iluminuras	Rimbaud, Arthur	1854-1891		Poesia	PDF	Fonte Original: CultVox	Portal Domínio Público
A Alma Encantadora das Ruas|Rio, João do	A Alma Encantadora das Ruas	Rio, João do	1881-1921		Crónicas	PDF	Fonte Original: Fundação Biblioteca Nacional	Portal Domínio Público
Dentro da noite|Rio, João do	Dentro da noite	Rio, João do	1881-1921		Contos	PDF	Fonte Original: Fundação Biblioteca Nacional	Portal Domínio Público
A Alma Encantadora das Ruas|Rio, João do	A Alma Encantadora das Ruas	Rio, João do	1881-1921		Crónicas	PDF	Fonte Original: Biblioteca Virtual de Literatura	Portal Domínio Público
As Religiões no Rio|Rio, João do	As Religiões no Rio	Rio, João do	1881-1921	1976	Ensaio  Religião	PDF	Fonte Original: Biblioteca Virtual de Literatura	Portal Domínio Público
A Bela Madame Vargas|Rio, João do	A Bela Madame Vargas	Rio, João do	1881-1921		Drama	PDF	Fonte Original: Universidade Federal de Santa Catarina - UFSC	Portal Domínio Público
Talitha|Rocha, Pinto da	Talitha	Rocha, Pinto da		1909	Drama	HTML, EPUB, MOBI e TXT		Project Gutenberg
História da Literatura Brasileira: Fatores da Literatura Brasileira|Romero, Sílvio	História da Literatura Brasileira: Fatores da Literatura Brasileira	Romero, Sílvio	1851-1914		Ensaio  Literatura	PDF	Fonte Original: Fundação Biblioteca Nacional	Portal Domínio Público
Vamiré: Romance dos tempos primitivos|Rosny, J.-H.	Vamiré: Romance dos tempos primitivos	Rosny, J.-H.	1856-1940	1905	Romance	HTML, EPUB, MOBI e TXT		Project Gutenberg
7 Canções|Rovedo, Salomão, pseud.	7 Canções	Rovedo, Salomão, pseud.	1942-	1987	Poesia	PDF	Fonte Original: Edição do Autor	Portal Domínio Público
Na Guella do Leão|Sabugosa, Conde de	Na Guella do Leão	Sabugosa, Conde de	1851-1923	1887	Contos	HTML, EPUB, MOBI e TXT		Project Gutenberg
Versos em honra do grande poeta Manoel Maria Barbosa du Bocage|Sadão, Elisino	Versos em honra do grande poeta Manoel Maria Barbosa du Bocage	Sadão, Elisino		1905	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Poemas|Safo	Poemas	Safo	610-580 a.C.		Poesia	PDF	Fonte Original: Phoenix-Library	Portal Domínio Público
Tratado das Cores|Sampaio, Diogo de Carvalho e	Tratado das Cores	Sampaio, Diogo de Carvalho e	1750-1818	1787	Ensaio  Arte	HTML, EPUB, MOBI e TXT		Project Gutenberg
Cartas sobre a educação da mocidade|Sanches, Ribeiro	Cartas sobre a educação da mocidade	Sanches, Ribeiro	1699-1783	1922	Ensaio  Pedagogia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Hoje sou um; e amanhã outro|Santo, Qorpo	Hoje sou um; e amanhã outro	Santo, Qorpo	1829-1883		Drama	PDF	Fonte Original: Biblioteca Virtual de Literatura	Portal Domínio Público
Educação nova: As bases|Santos, Augusto Joaquim Alves dos	Educação nova: As bases	Santos, Augusto Joaquim Alves dos	1866-1924	1919	Ensaio  Pedagogia	HTML, EPUB, MOBI e TXT		Project Gutenberg
O trophéo|Santos, C. Afonso dos	O trophéo	Santos, C. Afonso dos		1907	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Este mundo da injustiça globalizada|Saramago, José	Este mundo da injustiça globalizada	Saramago, José	1922-2010	2002	Discursos	PDF	Fonte Original: Phoenix-Library	Portal Domínio Público
A Epopeia da Planície|Sardinha, António	A Epopeia da Planície	Sardinha, António	1887-1925	1915	Poesia	PDF		Biblioteca Digital do Alentejo
Processo dum Rei|Sardinha, António	Processo dum Rei	Sardinha, António	1887-1925	1937	Ensaio  Política	PDF		Biblioteca Digital do Alentejo
O Valor da Raça|Sardinha, António	O Valor da Raça	Sardinha, António	1887-1925	1915	Ensaio  Política	PDF		Biblioteca Digital do Alentejo
O Sentido Nacional de uma Existência|Sardinha, António	O Sentido Nacional de uma Existência	Sardinha, António	1887-1925	1969	Ensaio  Política	PDF		Biblioteca Digital do Alentejo
O Território e a Raça|Sardinha, António	O Território e a Raça	Sardinha, António	1887-1925	1916	Ensaio  Política	PDF		Biblioteca Digital do Alentejo
A Mulher Portugueza|Schwalbach, Eduardo	A Mulher Portugueza	Schwalbach, Eduardo	1860-1946	1916	Ensaio  Cultura	HTML, EPUB, MOBI e TXT		Project Gutenberg
Memorias de um pobre diabo|Seabra, Bruno	Memorias de um pobre diabo	Seabra, Bruno	1837-1876	1868	Memórias	HTML, EPUB, MOBI e TXT		Project Gutenberg
Fábulas|Semedo, Curvo	Fábulas	Semedo, Curvo	1766-1838	2013	Fábulas	EPUB		Nativos Digitais Lêem +
A história de Seny - A caminhada|Senny, Sylvia	A história de Seny - A caminhada	Senny, Sylvia	1971-		Romance	PDF	Fonte Original: Edição do Autor	Portal Domínio Público
Lendas dos Vegetaes|Sequeira, Eduardo	Lendas dos Vegetaes	Sequeira, Eduardo	1861-1914	1892	Lendas	HTML, EPUB, MOBI e TXT		Project Gutenberg
O Oraculo do Passado, do presente e do Futuro - Parte Primeira|Serrano, Bento	O Oraculo do Passado, do presente e do Futuro - Parte Primeira	Serrano, Bento		1883	Astrologia	HTML, EPUB, MOBI e TXT		Project Gutenberg
O Oraculo do Passado, do presente e do Futuro - Parte Segunda|Serrano, Bento	O Oraculo do Passado, do presente e do Futuro - Parte Segunda	Serrano, Bento		1883	Astrologia	HTML, EPUB, MOBI e TXT		Project Gutenberg
O Oraculo do Passado, do presente e do Futuro - Parte Terceira|Serrano, Bento	O Oraculo do Passado, do presente e do Futuro - Parte Terceira	Serrano, Bento		1883	Astrologia	HTML, EPUB, MOBI e TXT		Project Gutenberg
O Oraculo do Passado, do presente e do Futuro - Parte Quarta|Serrano, Bento	O Oraculo do Passado, do presente e do Futuro - Parte Quarta	Serrano, Bento		1883	Astrologia	HTML, EPUB, MOBI e TXT		Project Gutenberg
O Oraculo do Passado, do presente e do Futuro - Parte Quinta|Serrano, Bento	O Oraculo do Passado, do presente e do Futuro - Parte Quinta	Serrano, Bento		1883	Astrologia	HTML, EPUB, MOBI e TXT		Project Gutenberg
O Oraculo do Passado, do presente e do Futuro - Parte Sexta|Serrano, Bento	O Oraculo do Passado, do presente e do Futuro - Parte Sexta	Serrano, Bento		1883	Astrologia	HTML, EPUB, MOBI e TXT		Project Gutenberg
O Oraculo do Passado, do presente e do Futuro - Parte Sétima|Serrano, Bento	O Oraculo do Passado, do presente e do Futuro - Parte Sétima	Serrano, Bento		1883	Astrologia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Hamlet: Drama em cinco Actos|Shakespeare, William	Hamlet: Drama em cinco Actos	Shakespeare, William	1564-1616	1880	Drama	HTML, EPUB, MOBI e TXT		Project Gutenberg
Hamlet|Shakespeare, William	Hamlet	Shakespeare, William	1564-1616	2015	Drama	EPUB e MOBI		Projecto Adamastor
O Mercador de Veneza|Shakespeare, William	O Mercador de Veneza	Shakespeare, William	1564-1616		Drama	PDF	Fonte Original: CultVox	Portal Domínio Público
Conto ou não conto?|Sidney, Abel	Conto ou não conto?	Sidney, Abel			Literatura Infanto-Juvenil	PDF	Fonte Original: Edição do Autor	Portal Domínio Público
O descobrimento do Brasil por Pedro Alvares Cabral|Silva, A. A. Baldaque da	O descobrimento do Brasil por Pedro Alvares Cabral	Silva, A. A. Baldaque da	1852-1915	1892	História	HTML, EPUB, MOBI e TXT		Project Gutenberg
Dôr e Luz|Silva, Acúrcio Correia da	Dôr e Luz	Silva, Acúrcio Correia da	1889-1925	1912	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
A Beata de Évora|Silva, Bruno da	A Beata de Évora	Silva, Bruno da	1836-1910	1890	Romance Histórico	PDF		Biblioteca Digital do Alentejo
Isabel de Sousa ou a origem dos Palmellas|Silva, Bruno da	Isabel de Sousa ou a origem dos Palmellas	Silva, Bruno da	1836-1910	1890	Drama	PDF		Biblioteca Digital do Alentejo
Christovam Colombo e o descobrimento da America|Silva, João Manuel Pereira da	Christovam Colombo e o descobrimento da America	Silva, João Manuel Pereira da	1817-1898	1892	História  Descobrimentos	HTML, EPUB, MOBI e TXT		Project Gutenberg
Manuel de Moraes: Chronica do Seculo XVII|Silva, João Manuel Pereira da	Manuel de Moraes: Chronica do Seculo XVII	Silva, João Manuel Pereira da	1817-1898	1866	Biografia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Pai, posso dar um soco nele?|Silva, José Cláudio da	Pai, posso dar um soco nele?	Silva, José Cláudio da	1959-	2003	Literatura Infanto-Juvenil	PDF	Fonte Original: Edição do Autor	Portal Domínio Público
O pacto maldito e outras histórias de morte|Silva, José Cláudio da	O pacto maldito e outras histórias de morte	Silva, José Cláudio da	1959-	2006	Contos	PDF	Fonte Original: Edição do Autor	Portal Domínio Público
A Casa dos Fantasmas - Volume I|Silva, Luís Augusto Rebelo da	A Casa dos Fantasmas - Volume I	Silva, Luís Augusto Rebelo da	1822-1871	1908	Romance	HTML, EPUB, MOBI e TXT		Project Gutenberg
A Casa dos Fantasmas - Volume II|Silva, Luís Augusto Rebelo da	A Casa dos Fantasmas - Volume II	Silva, Luís Augusto Rebelo da	1822-1871	1908	Romance	HTML, EPUB, MOBI e TXT		Project Gutenberg
Contos e Lendas|Silva, Luís Augusto Rebelo da	Contos e Lendas	Silva, Luís Augusto Rebelo da	1822-1871	1873	Lendas	HTML, EPUB, MOBI e TXT		Project Gutenberg
Guia Indispensável ao Forasteiro|Silva, M. Augusto da	Guia Indispensável ao Forasteiro	Silva, M. Augusto da		1898	Guia Turístico	PDF		Bibliotrónica Portuguesa
Apontamentos para a Biographia do Cidadão José da Silva Passos|Silva, Manuel Joaquim Pereira da	Apontamentos para a Biographia do Cidadão José da Silva Passos	Silva, Manuel Joaquim Pereira da	1801-1863	1848	Biografia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Noções elementares de archeologia|Silva, Possidónio da	Noções elementares de archeologia	Silva, Possidónio da	1806-1896	1878	Arqueologia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Resumo elementar de archeologia christã|Silva, Possidónio da	Resumo elementar de archeologia christã	Silva, Possidónio da	1806-1896	1887	Arqueologia	HTML, EPUB, MOBI e TXT		Project Gutenberg
O Romance d'uma cantora|Sirven, Alfred	O Romance d'uma cantora	Sirven, Alfred		1895	Romance	HTML, EPUB, MOBI e TXT		Project Gutenberg
As concessões de direitos magestaticos a emprezas mercantis para o ultramar|Sociedade de Geografia de Lisboa	As concessões de direitos magestaticos a emprezas mercantis para o ultramar	Sociedade de Geografia de Lisboa		1891	Ensaio  Política	HTML, EPUB, MOBI e TXT		Project Gutenberg
Édipo-Rei|Sófocles	Édipo-Rei	Sófocles	496-406 a.C.		Drama	PDF	Fonte Original: CultVox	Portal Domínio Público
Descobrimentos dos Portuguezes nos Seculos XV e XVI|Sori, A. F. Marx de	Descobrimentos dos Portuguezes nos Seculos XV e XVI	Sori, A. F. Marx de		1867	História  Descobrimentos	HTML, EPUB, MOBI e TXT		Project Gutenberg
José Estevão|Sousa, Eduardo de	José Estevão	Sousa, Eduardo de	1865-1927	1909	Discursos	HTML, EPUB, MOBI e TXT		Project Gutenberg
Tratado das Ilhas Novas|Sousa, Francisco de	Tratado das Ilhas Novas	Sousa, Francisco de		1877	História  Descobrimentos	HTML, EPUB, MOBI e TXT		Project Gutenberg
A Poesia Interminável|Sousa, João da Cruz e	A Poesia Interminável	Sousa, João da Cruz e	1861-1898		Poesia	PDF	Fonte Original: Fundação Biblioteca Nacional	Portal Domínio Público
Poemas Humorísticos e Irônicos|Sousa, João da Cruz e	Poemas Humorísticos e Irônicos	Sousa, João da Cruz e	1861-1898		Poesia	PDF	Fonte Original: Fundação Biblioteca Nacional	Portal Domínio Público
O Que Há-de Ser o Mundo no Ano Três Mil|Souvestre, Émile	O Que Há-de Ser o Mundo no Ano Três Mil	Souvestre, Émile	1806-1854	2016	Romance	EPUB e MOBI		Projecto Adamastor
Memoria ácerca dos Portuguezes na Abyssinia|Soveral, Luís Augusto Pinto	Memoria ácerca dos Portuguezes na Abyssinia	Soveral, Luís Augusto Pinto	1812-1905	1894	História  Descobrimentos	HTML, EPUB, MOBI e TXT		Project Gutenberg
A Preparação do Actor|Stanislavsky, Konstantin	A Preparação do Actor	Stanislavsky, Konstantin	1863-1938	1979	Ensaio  Arte	PDF		Bibliotrónica Portuguesa
A Casa do Saltimbanco|Stolz, Mme. De	A Casa do Saltimbanco	Stolz, Mme. De		1886	Romance	HTML, EPUB, MOBI e TXT		Project Gutenberg
Viagens de Gulliver|Swift, Jonathan	Viagens de Gulliver	Swift, Jonathan	1667-1745	1950	Romance	PDF	Fonte Original: eBooksBrasil	Portal Domínio Público
Scenas de viagem|Taunay, Alfredo	Scenas de viagem	Taunay, Alfredo	1843-1899	1868	Literatura de Viagem	HTML, EPUB, MOBI e TXT		Project Gutenberg
Inocência|Taunay, Alfredo	Inocência	Taunay, Alfredo	1843-1899		Romance	PDF	Fonte Original: Fundação Biblioteca Nacional	Portal Domínio Público
Ao Entardecer (contos vários)|Taunay, Alfredo	Ao Entardecer (contos vários)	Taunay, Alfredo	1843-1899		Contos	PDF	Fonte Original: Biblioteca Virtual do Estudante Brasileiro / USP	Portal Domínio Público
Ensino intuitivo|Teles, João José de Sousa	Ensino intuitivo	Teles, João José de Sousa	1826-1903	1873	Ensaio  Pedagogia	HTML, EPUB, MOBI e TXT		Project Gutenberg
A Influencia Europea na Africa perante a Civilisação e as Relações Internacionaes|Testa, Carlos	A Influencia Europea na Africa perante a Civilisação e as Relações Internacionaes	Testa, Carlos		1880	Ensaio  Cultura	HTML, EPUB, MOBI e TXT		Project Gutenberg
Lord Palmerston: a opinião e os factos|Testa, Carlos	Lord Palmerston: a opinião e os factos	Testa, Carlos		1865	Ensaio  Política	HTML, EPUB, MOBI e TXT		Project Gutenberg
A politica intercolonial e internacional e o tratado de Lourenço Marques|Testa, Carlos	A politica intercolonial e internacional e o tratado de Lourenço Marques	Testa, Carlos		1881	Ensaio  Cultura	HTML, EPUB, MOBI e TXT		Project Gutenberg
Portugal e Marrocos perante a historia e a politica europea|Testa, Carlos	Portugal e Marrocos perante a historia e a politica europea	Testa, Carlos		1888	Ensaio  Política	HTML, EPUB, MOBI e TXT		Project Gutenberg
A Desobediência Civil|Thoreau, Henry David	A Desobediência Civil	Thoreau, Henry David	1817-1862		Ensaio  Política	PDF	Fonte Original: CultVox	Portal Domínio Público
Andar a Pé|Thoreau, Henry David	Andar a Pé	Thoreau, Henry David	1817-1862	1950	Filosofia	PDF	Fonte Original: eBooksBrasil	Portal Domínio Público
Obras poéticas de Nicoláo Tolentino de Almeida, Tom. II|Tolentino, Nicolau	Obras poéticas de Nicoláo Tolentino de Almeida, Tom. II	Tolentino, Nicolau	1740-1811	1801	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Obras posthumas|Tolentino, Nicolau	Obras posthumas	Tolentino, Nicolau	1740-1811	1828	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Contos escolhidos de D. Antonio de Trueba|Trueba, Antonio de	Contos escolhidos de D. Antonio de Trueba	Trueba, Antonio de	1819-1889	1872	Contos	HTML, EPUB, MOBI e TXT		Project Gutenberg
Paródia ao primeiro canto dos Lusíadas de Camões por quatro estudantes de Évora em 1589|Valle de Moura, Manuel do	Paródia ao primeiro canto dos Lusíadas de Camões por quatro estudantes de Évora em 1589	Valle de Moura, Manuel do		1880	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Compilação de Poemas d´O Panorama|Vários	Compilação de Poemas d´O Panorama	Vários		2007	Poesia	PDF		Bibliotrónica Portuguesa
O Ensino da Historia da Arte nos Lyceus e as excursões escolares|Vasconcellos, Joaquim de	O Ensino da Historia da Arte nos Lyceus e as excursões escolares	Vasconcellos, Joaquim de		1908	Ensaio  Pedagogia	HTML, EPUB, MOBI e TXT		Project Gutenberg
A fundação da monarchia portugueza|Vasconcelos, A. A. Teixeira de	A fundação da monarchia portugueza	Vasconcelos, A. A. Teixeira de	1816-1878	1860	História	HTML, EPUB, MOBI e TXT		Project Gutenberg
