original_id	work_title	work_authors	authors_lifetime	work_publication_year	work_category	file_format	notes	original_source
A Invenção do Dia Claro|Negreiros, Almada	A Invenção do Dia Claro	Negreiros, Almada	1893-1970	1921	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
O Jardim da Pierrette|Negreiros, Almada	O Jardim da Pierrette	Negreiros, Almada	1893-1970	1918	Drama	HTML, EPUB, MOBI e TXT		Project Gutenberg
K4 O Quadrado Azul|Negreiros, Almada	K4 O Quadrado Azul	Negreiros, Almada	1893-1970	1917	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Litoral|Negreiros, Almada	Litoral	Negreiros, Almada	1893-1970	19--	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Manifesto anti-Dantas|Negreiros, Almada	Manifesto anti-Dantas	Negreiros, Almada	1893-1970	1916	Sátira	HTML, EPUB, MOBI e TXT		Project Gutenberg
A Scena do Odio|Negreiros, Almada	A Scena do Odio	Negreiros, Almada	1893-1970	1915	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Lendas do sul|Neto, J. Simões Lopes	Lendas do sul	Neto, J. Simões Lopes	1865-1916	1913	Lendas	HTML, EPUB, MOBI e TXT		Project Gutenberg
Mysterio do Natal|Netto, Coelho	Mysterio do Natal	Netto, Coelho	1864-1934	1911	Contos	HTML, EPUB, MOBI e TXT		Project Gutenberg
A Conquista|Netto, Coelho	A Conquista	Netto, Coelho	1864-1934		Romance	PDF	Fonte Original: Biblioteca Virtual de Literatura	Portal Domínio Público
Despedidas|Nobre, António	Despedidas	Nobre, António	1867-1900	1902	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Só|Nobre, António	Só	Nobre, António	1867-1900	1892	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Só|Nobre, António	Só	Nobre, António	1867-1900	2015	Poesia	EPUB e MOBI		Projecto Adamastor
Verdades amargas|Nunes, Cláudio José	Verdades amargas	Nunes, Cláudio José	1831-1875	1870	Ensaio  Política	HTML, EPUB, MOBI e TXT		Project Gutenberg
Alocução ao Senhor Presidente da República|Oliveira, João Duarte de	Alocução ao Senhor Presidente da República	Oliveira, João Duarte de	1875-1946	1919	Discursos	HTML, EPUB, MOBI e TXT		Project Gutenberg
O culto da arte em Portugal|Ortigão, Ramalho	O culto da arte em Portugal	Ortigão, Ramalho	1836-1915	1896	Ensaio  Arte	HTML, EPUB, MOBI e TXT		Project Gutenberg
Infelizes|Osório, Ana de Castro	Infelizes	Osório, Ana de Castro	1872-1935	1898	Contos	HTML, EPUB, MOBI e TXT		Project Gutenberg
Quatro Novelas|Osório, Ana de Castro	Quatro Novelas	Osório, Ana de Castro	1872-1935	1908	Contos	HTML, EPUB, MOBI e TXT		Project Gutenberg
Às Mulheres Portuguesas|Osório, Ana de Castro	Às Mulheres Portuguesas	Osório, Ana de Castro	1872-1935	1905	Ensaio  Política	PDF		Bibliotrónica Portuguesa
Contos, Fábulas, Facécias e Exemplos da Tradição Popular Portuguesa|Osório, Ana de Castro	Contos, Fábulas, Facécias e Exemplos da Tradição Popular Portuguesa	Osório, Ana de Castro	1872-1935	1962	Contos	PDF		Bibliotrónica Portuguesa
Quatro Novelas|Osório, Ana de Castro	Quatro Novelas	Osório, Ana de Castro	1872-1935	2015	Contos	EPUB e MOBI		Projecto Adamastor
